time,Temperature,Humidity,AQ
10:42:16,28.9,67.8,145643.15
10:42:46,28.9,67.6,11514.68
10:43:16,28.9,67.5,11644.53
10:43:46,29.0,67.5,11644.53
10:44:16,29.0,67.4,11775.74
10:44:46,29.0,67.5,11514.68
10:45:16,29.0,67.5,11775.74
10:45:46,29.0,67.4,11908.34
10:46:16,29.0,67.5,12042.33
10:46:46,29.0,67.4,11908.34
10:47:16,28.9,67.3,11908.34
10:47:46,28.9,67.8,11908.34
10:48:16,28.9,67.9,12177.73
10:48:46,28.9,67.5,12042.33
10:49:16,28.9,67.8,12042.33
10:49:46,28.8,68.0,11775.74
10:50:16,28.9,68.3,11908.34
10:50:46,28.9,68.0,12042.33
10:51:16,28.9,68.0,12177.73
10:51:46,28.9,68.3,12314.55
10:52:16,28.9,68.1,12452.82
10:52:46,28.9,68.0,12592.53
10:53:16,28.9,68.1,12592.53
10:53:47,28.9,68.3,12592.53
10:54:17,28.9,68.3,12733.73
10:54:47,28.9,68.2,13166.26
10:55:17,29.0,68.2,13313.49
10:55:47,29.0,68.2,13462.26
10:56:17,29.0,68.1,13462.26
10:56:47,28.9,68.4,13462.26
10:57:17,29.0,68.4,13462.26
10:57:47,28.9,68.4,13462.26
10:58:17,28.9,68.9,13612.61
10:58:47,29.0,69.3,13764.53
10:59:17,29.0,68.6,13764.53
10:59:47,29.0,68.6,13918.05
11:00:17,29.0,68.7,13764.53
11:00:47,29.0,68.6,13764.53
11:01:17,28.9,68.6,13764.53
11:01:47,28.9,68.7,13764.53
11:02:17,28.9,69.0,13764.53
11:02:47,28.9,68.9,13918.05
11:03:17,28.9,69.0,14073.18
11:03:47,28.9,69.0,14073.18
11:04:17,28.9,69.2,14073.18
11:04:47,28.9,69.5,14229.96
11:05:17,28.9,69.3,14229.96
11:05:47,28.9,69.3,14229.96
11:06:17,28.9,69.4,14548.48
11:06:47,28.9,69.4,14710.26
11:07:17,28.9,69.4,14548.48
11:07:47,28.9,69.5,14710.26
11:08:17,28.9,69.5,14873.74
11:08:47,28.9,69.5,14873.74
11:09:17,29.3,69.8,14710.26
11:09:47,29.4,68.5,14873.74
11:10:17,29.4,68.1,14873.74
11:10:47,29.3,68.2,15374.59
11:11:17,29.3,68.1,15205.89
11:11:48,29.2,68.4,15717.36
11:12:18,29.2,68.4,15891.47
11:12:48,29.3,68.3,16067.41
11:13:18,29.3,68.1,16245.2
11:13:48,29.2,68.0,16245.2
11:14:18,29.2,68.1,16067.41
11:14:48,29.2,68.0,16245.2
11:15:18,29.2,68.2,16067.41
11:15:48,29.1,68.4,16245.2
11:16:18,29.1,68.4,16424.87
11:16:48,29.1,68.5,16424.87
11:17:18,29.1,68.6,16424.87
11:17:48,29.1,68.7,16789.93
11:18:18,29.1,68.6,16789.93
11:18:48,29.1,68.5,16975.36
11:19:18,29.1,68.4,17162.74
11:19:48,29.1,68.5,17352.11
